1000|Gehe nicht, oh Gregor|Music byUkrainian folksong|
10017|You Are My Lucky Star|Music byNacio Herb Brown|
10018|You Gotta Be A Football Hero|Music byAl Lewis,Al Sherman,Buddy Fields|
10019|We Will Always Be Sweethearts|Music byRichard A. Whiting|
1002|Schlaflied fr Anne|Music byFrederik Vahle|
10020|What Can I Say After I Say I'm Sorry|Music byAbe Lyman|
10021|At Sundown|Music byWalter Donaldson|
10025|My Mom|Music byWalter Donaldson|jazz
10026|Make The World Your Own|Music byMichel LeGrand|jazz
1003|Get me away|Music byBelle and Sebastian|
10038|Angel|Music bySarh McLachlan|
10039|Black Coffee|Music byPaul Francis Webber|blues
10040|The Birth Of The Blues|Music byRay Henderson|
10043|One Note Samba|Music byAntonio Carlos Jobim|
10045|Did I Remember?|Music byWalter Donaldson|
10049|Do You Ever Think Of Me|Music byEarl Burtnett|
10052|Down By the River|Music byRichard Rodgers|
10054|Never Let Me Go|Music byJay Livingston,Ray Evans|
10055|New York State of Mind|None|pop
10059|Fit As A Fiddle|Music byAl Goodhart,Al Hoffman|
10060|Great Day|Music byVincent Youmans|
10061|I Feel A Song Comin' On|Music byGeorge Oppenheimer,Jimmy McHugh|
10062|I Don't Stand A Ghost Of A Chance|Music byVictor Young|
10063|Morning Has Broken|Music byTraditional Gaelic Melody|worship
1007|Storytelling|Music byBelle and Sebastian|
10072|Linger Awhile|Music byVincent Rose|
10074|No Regrets|Music byRoy Ingraham|
10075|San Francisco|Music byBrian Kaper,Walter Jurman|
10077|So Rare|Music byJerry Herst|
10078|Ev'rything I've Got (Belongs To You)|Music byRichard Rodgers|
1008|Where the Boys Are|None|movies
10087|In The Presence of Jehovah|Music byBecky Davis,Geron Davis|worship
10097|The Sidewalks Of New York|Music byJames W. Blake|
101|Anthropology|Music byCharlie Parker|
10106|Three O'Clock In The Morning|Music byJulian Robledo|
10107|To You|Music byTed Shapiro,Tommy Dorsey|
10109|Swingin' Down The Lane|Music byIsham Jones|
1011|The Nearness of You|Music byNed Washington|
10114|'Deed I Do|Music byFred Rose|jazz
10116|Ev'rywhere|Music byTolchard Evans|
10118|Unchain my Heart|None|blues
10129|We Shall Behold Him|None|worship
10130|Keep On The Firing Line|None|worship
10137|Beyond The Blue Horizon|Music byRichard A. Whiting,W. Franke Harling|
10152|Thank Heaven For Little Girls|Music byFrederick Lowe|
10155|Toot, Toot, Tootsie|Music byTed Fiorito|
10159|Thou Swell|Music byRichard Rodgers / Lorenz Hart|jazz
10160|JuJu|Music byWayne Shorter|jazz
10162|I Was Doing All Right|Music byGeorge Gershwin|
10163|They Can't Take That Away From Me|Music byGeorge Gershwin|
10165|I'm Happy About the Whole Thing|None|broadway
10179|Spain|Music byChick Corea|jazz
10185|I've Got The World On  A String|Music byHarold Arle n|
10188|Fascination|Music byMarchetti|
1019|Happy Xmas|None|holiday
10196|Someday I'll find you (from "Private Lives"|None|
10198|Shady Grove|Music byTraditional|traditional
10199|I Want A Girl Just Like The Girl|Music byHarry Tilzer|pop
102|Paint it black|Music byThe Rolling Stones|
10211|The Lady Is A Tramp|Music byRichard Rodgers|jazz
10224|Giant Steps with Coltrane's Solos|Music byJohn Coltrane|jazz
10226|You Belong With Me|None|
10228|Old Spinning Wheel|None|
10229|Lazybones|None|
10234|Funkytown|Music byLipps|pop
1024|If I Were A Boy|None|
10240|The Prisoner's Song|Music byTraditional adapted by Vernon Dalhart|traditional
10241|When It's Sleepy Time Down South|Music byClarence Muse|blues
10242|Boulevard Of Broken Dreams|Music byHarry Warren|movies
10246|Blues for Vanessa|Music byCarolyn Rhoads|blues
10247|Wanted Dead or Alive|None|rock
10248|Come Prima|Music bySandro Taccani,Vincenzo Di Paolo|pop
1025|Desafinado|Music byAntonio Carlos Jobim|jazz
